,Boroughs,Businesses with employee size 0-9,Businesses with employee size 10-49,Businesses with employee size 50-249,Businesses with employee size 250 or more
01,Mitte,24251,3223,869,210
02,Friedrichshain-Kreuzberg,18874,1679,356,69
03,Pankow,20985,1313,267,63
04,Charlottenburg-Wilmersdorf,26373,2357,506,88
05,Spandau,6975,538,146,33
06,Steglitz-Zehlendorf,13309,869,182,40
07,Tempelhof-Schöneberg,16918,1593,340,75
08,Neukölln,11458,856,164,33
09,Treptow-Köpenick,10189,912,187,28
10,Marzahn-Hellersdorf,6843,660,147,22
11,Lichtenberg,7365,665,169,34
12,Reinickendorf,8814,879,220,53
